Date,Open,Low,High,Close,Change,ChangePercent
1399/04/15,103450000,95380000,103850000,96300000,7880000.0,8.18
1399/04/16,97480000,97280000,102500000,101780000,5480000.0,5.69
1399/04/17,105600000,104280000,106100000,105280000,3500000.0,3.44
1399/04/18,104780000,103280000,105100000,103280000,2000000.0,1.94
1399/04/19,103280000,103280000,103280000,103280000,,
1399/04/20,103180000,102980000,105200000,105050000,1770000.0,1.71
1399/04/21,104980000,103530000,105200000,103880000,1170000.0,1.13
1399/04/22,106900000,106330000,107100000,107000000,3120000.0,3.0
1399/04/23,106680000,105480000,108050000,107930000,930000.0,0.87
1399/04/24,107950000,107680000,108600000,107900000,30000.0,0.03
1399/04/25,107880000,107330000,109100000,109080000,1180000.0,1.09
1399/04/26,109080000,109080000,109080000,109080000,,
1399/04/27,110500000,110080000,112100000,111780000,2700000.0,2.48
1399/04/28,114080000,112180000,114350000,112180000,400000.0,0.36
1399/04/29,111080000,106780000,111400000,106800000,5380000.0,5.04
1399/04/30,99080000,98480000,104000000,103280000,3520000.0,3.41
1399/04/31,99080000,99080000,101700000,100600000,2680000.0,2.66
1399/05/01,101980000,101330000,102300000,101980000,1380000.0,1.37
1399/05/02,101980000,101980000,101980000,101980000,,
1399/05/03,105450000,104680000,107500000,107180000,5200000.0,5.1
1399/05/04,112000000,108880000,113500000,108980000,1800000.0,1.68
1399/05/05,112580000,110980000,113000000,112500000,3520000.0,3.23
1399/05/06,112580000,110380000,112800000,110410000,2090000.0,1.89
1399/05/07,110390000,109990000,112210000,112190000,1780000.0,1.61
1399/05/08,112210000,112190000,113810000,113610000,1420000.0,1.27
1399/05/09,113610000,113610000,113610000,113610000,,
1399/05/10,112990000,111590000,113610000,111610000,2000000.0,1.79
1399/05/11,109390000,107790000,111510000,110910000,700000.0,0.63
1399/05/12,112410000,111590000,113110000,111590000,680000.0,0.61
1399/05/13,112110000,111090000,112910000,111310000,280000.0,0.25
1399/05/14,111290000,111290000,114500000,113490000,2180000.0,1.96
1399/05/15,113510000,113490000,114810000,114760000,1270000.0,1.12
1399/05/16,114760000,114760000,114760000,114760000,,
1399/05/18,105140000,103000000,107810000,106810000,7950000.0,7.44
1399/05/19,100510000,100490000,106010000,105810000,1000000.0,0.95
1399/05/20,108710000,106290000,110810000,106310000,500000.0,0.47
1399/05/21,103410000,102890000,105110000,104010000,2300000.0,2.21
1399/05/22,103990000,103990000,108010000,107190000,3180000.0,3.06
1399/05/23,107190000,107190000,107190000,107190000,,
1399/05/24,106490000,103290000,107110000,103640000,3550000.0,3.43
1399/05/25,103560000,101590000,105810000,105610000,1970000.0,1.9
1399/05/26,108710000,108090000,109710000,108310000,2700000.0,2.56
1399/05/27,109210000,106390000,109210000,107510000,800000.0,0.74
1399/05/28,107410000,106190000,107610000,107110000,400000.0,0.37
1399/05/29,107590000,107340000,108010000,107890000,780000.0,0.73
1399/05/30,107890000,107890000,107890000,107890000,,
1399/05/31,107910000,103990000,107910000,105040000,2850000.0,2.71
1399/06/01,107710000,106440000,107860000,106510000,1470000.0,1.4
1399/06/02,106210000,105940000,107810000,107440000,930000.0,0.87
1399/06/03,107760000,107490000,108460000,108440000,1000000.0,0.93
1399/06/04,107810000,107490000,108610000,107610000,830000.0,0.77
1399/06/05,107590000,107590000,107610000,107610000,,
1399/06/09,107590000,107590000,111800000,111000000,3390000.0,3.15
1399/06/10,107610000,107590000,113500000,113500000,2500000.0,2.25
1399/06/11,107610000,107590000,114660000,113060000,440000.0,0.39
1399/06/12,111790000,110290000,111810000,110860000,2200000.0,1.98
1399/06/13,110860000,110860000,110860000,110860000,,
1399/06/14,111790000,111590000,114110000,113790000,2930000.0,2.64
1399/06/15,113990000,112790000,114410000,113090000,700000.0,0.62
1399/06/16,112610000,112440000,114610000,114260000,1170000.0,1.03
1399/06/17,114490000,114390000,117210000,117210000,2950000.0,2.58
1399/06/18,117610000,116690000,119910000,119010000,1800000.0,1.54
1399/06/19,118060000,118040000,119910000,119910000,900000.0,0.76
1399/06/20,119910000,119910000,119910000,119910000,,
1399/06/21,119890000,119890000,122760000,122660000,2750000.0,2.29
1399/06/22,123910000,123890000,126810000,126790000,4130000.0,3.37
1399/06/23,127890000,127790000,130060000,128890000,2100000.0,1.66
1399/06/24,128910000,127390000,128960000,127890000,1000000.0,0.78
1399/06/25,131710000,127990000,131860000,128090000,200000.0,0.16
1399/06/26,128410000,127490000,129110000,127990000,100000.0,0.08
1399/06/27,127990000,127990000,127990000,127990000,,
1399/06/28,127760000,126690000,127960000,127660000,330000.0,0.26
1399/06/29,129740000,129590000,132660000,132640000,4980000.0,3.9
1399/06/30,132590000,129490000,132810000,130490000,2150000.0,1.65
1399/06/31,129190000,128790000,132260000,132090000,1600000.0,1.23
1399/07/01,132510000,131440000,134000000,131890000,200000.0,0.15
1399/07/02,132760000,132040000,133210000,133010000,1120000.0,0.85
1399/07/03,133010000,133010000,133010000,133010000,,
1399/07/04,133160000,131790000,133560000,132460000,550000.0,0.42
1399/07/05,132960000,132690000,133460000,133090000,630000.0,0.48
1399/07/06,133110000,133090000,133910000,133910000,820000.0,0.62
1399/07/07,135010000,133740000,135810000,135790000,1880000.0,1.4
1399/07/08,135810000,135790000,140210000,140190000,4400000.0,3.24
1399/07/09,143290000,142390000,143910000,143110000,2920000.0,2.08
1399/07/10,143110000,143110000,143110000,143110000,,
1399/07/11,144010000,141890000,144460000,142410000,700000.0,0.49
1399/07/12,142390000,133790000,142410000,134960000,7450000.0,5.52
1399/07/13,141640000,141390000,143360000,142490000,7530000.0,5.58
1399/07/14,142510000,142490000,147210000,145610000,3120000.0,2.19
1399/07/15,145590000,144790000,147110000,147110000,1500000.0,1.03
1399/07/16,147110000,147090000,147110000,147110000,,
1399/07/18,147090000,147090000,153110000,152610000,5500000.0,3.74
1399/07/19,152590000,152590000,160410000,157610000,5000000.0,3.28
1399/07/20,154710000,154690000,159810000,159810000,2200000.0,1.4
1399/07/21,159790000,159790000,163110000,161210000,1400000.0,0.88
1399/07/22,161890000,158990000,161960000,160710000,500000.0,0.31
1399/07/23,160690000,160690000,160860000,160860000,150000.0,0.09
1399/07/26,164340000,160090000,165310000,160710000,150000.0,0.09
1399/07/27,161590000,153990000,161810000,155390000,5320000.0,3.42
1399/07/28,146010000,135730000,146610000,141800000,13590000.0,9.58
1399/07/29,141890000,135980000,146510000,142990000,1190000.0,0.84
1399/07/30,150790000,148180000,151420000,150020000,7030000.0,4.92
1399/08/01,150020000,150020000,150020000,150020000,,
1399/08/02,150010000,145680000,150020000,146590000,3430000.0,2.34
1399/08/03,146590000,146590000,146590000,146590000,,
1399/08/04,139990000,136880000,142520000,139610000,6980000.0,5.0
1399/08/05,142020000,138980000,142420000,140090000,480000.0,0.34
1399/08/06,136180000,133790000,137720000,134390000,5700000.0,4.24
1399/08/07,134710000,134680000,136520000,135490000,1100000.0,0.82
1399/08/08,135490000,135490000,135490000,135490000,,
1399/08/09,132790000,126480000,133020000,128020000,7470000.0,5.84
1399/08/10,127520000,126280000,132620000,130980000,2960000.0,2.31
1399/08/11,136210000,136080000,146520000,146410000,15430000.0,11.78
1399/08/12,146410000,146410000,146410000,146410000,,
1399/08/13,150980000,148280000,152520000,150410000,4000000.0,2.73
1399/08/14,140000000,126000000,140000000,129020000,21390000.0,16.58
1399/08/16,123690000,120780000,126020000,121720000,7300000.0,6.0
1399/08/17,118290000,118280000,125820000,125720000,4000000.0,3.29
1399/08/18,125710000,125680000,145220000,134090000,8370000.0,6.66
1399/08/19,135980000,131780000,136320000,132510000,1580000.0,1.19
1399/08/20,131820000,128980000,132520000,130410000,2100000.0,1.61
1399/08/21,129590000,128880000,129820000,129220000,1190000.0,0.92
1399/08/22,129220000,129220000,129220000,129220000,,
1399/08/23,131890000,125780000,132520000,126280000,2940000.0,2.33
1399/08/24,125190000,118980000,125520000,119710000,6570000.0,5.49
